,City_Name,Lat,Lon,Max_Temp,Humidity,Clouds,Wind_Speed,Country,Date
147,Kidal,18.44,1.41,93.99,13,31,8.97,ML,1602534462
148,Thunder Bay,48.4,-89.32,48.2,93,90,9.17,CA,1602534462
149,Aklavik,68.22,-135.01,23.0,67,75,10.29,CA,1602534243
150,Ibrā’,22.69,58.53,76.42,28,0,7.99,OM,1602534462
151,Arraial do Cabo,-22.97,-42.03,73.4,69,48,20.8,BR,1602534462
152,Makanya,-4.37,37.83,74.05,68,33,4.23,TZ,1602534463
153,Peniche,39.36,-9.38,59.0,82,0,1.99,PT,1602534446
154,Lüderitz,-26.65,15.16,63.27,55,0,14.7,NA,1602534463
155,Butembo,0.15,29.28,57.2,100,97,2.64,CD,1602534463
156,El Limon,10.31,-67.63,80.82,73,79,2.08,VE,1602534463
157,Eyl,7.98,49.82,79.36,81,85,8.95,SO,1602534463
158,Castro,-24.79,-50.01,77.54,48,0,3.11,BR,1602534279
159,Luzhou,28.87,105.44,63.88,88,100,1.23,CN,1602534464
160,Zhangye,38.93,100.45,41.59,54,0,1.25,CN,1602534464
161,Virginia Beach,36.85,-75.98,80.01,78,90,6.93,US,1602533640
162,Lalibela,12.03,39.03,56.53,57,26,7.58,ET,1602534464
163,Chittarkonda,18.12,82.08,72.48,95,100,2.86,IN,1602534464
164,Port-Cartier,50.03,-66.87,43.0,60,75,13.87,CA,1602534464
165,Roald,62.58,6.13,46.4,75,20,13.87,NO,1602534464
166,Tazovsky,67.47,78.7,34.43,98,100,15.64,RU,1602534465
167,Havøysund,71.0,24.66,39.2,80,75,11.41,NO,1602534465
168,Ginir,7.13,40.7,60.08,69,2,7.87,ET,1602534465
169,Tiksi,71.69,128.87,9.18,93,11,5.48,RU,1602534465
170,Ejea de los Caballeros,42.13,-1.14,57.2,62,92,11.41,ES,1602534465
171,Kokstad,-30.55,29.42,51.08,74,1,3.65,ZA,1602534465
172,Baoning,25.34,110.03,64.4,88,20,4.47,CN,1602534465
173,Saskylakh,71.92,114.08,17.83,96,100,8.08,RU,1602534466
174,Ponca City,36.71,-97.09,75.2,19,1,9.78,US,1602534343
175,Lavrentiya,65.58,-171.0,31.82,92,72,14.99,RU,1602534466
176,Rongcheng,30.63,117.85,59.14,87,0,3.49,CN,1602534466
177,Solnechnyy,50.72,136.63,32.97,94,40,2.17,RU,1602534466
178,New Norfolk,-42.78,147.06,44.01,65,22,1.99,AU,1602534466
179,Al Bardīyah,31.76,25.09,72.63,69,0,12.66,LY,1602534466
180,Chui,-33.7,-53.46,60.17,77,74,7.54,UY,1602534467
181,Winneba,5.35,-0.62,78.8,88,40,13.87,GH,1602534467
182,Vila Franca do Campo,37.72,-25.43,66.2,77,40,6.93,PT,1602534467
183,Hithadhoo,-0.6,73.08,82.09,71,26,11.25,MV,1602534467
184,Petropavlovsk-Kamchatskiy,53.05,158.65,26.6,73,55,6.71,RU,1602534467
185,Gwadar,25.12,62.33,77.02,24,0,23.6,PK,1602534467
186,Constitución,-35.33,-72.42,65.17,51,0,17.02,CL,1602534467
187,Tupik,54.43,119.93,22.08,93,100,8.95,RU,1602534468
188,Carnarvon,-24.87,113.63,66.2,93,40,12.75,AU,1602534369
189,Tomatlán,19.93,-105.25,88.97,61,47,7.61,MX,1602534468
190,Husavik,66.04,-17.34,41.0,75,7,6.93,IS,1602534468
191,Troitsko-Pechorsk,62.71,56.2,43.02,93,100,6.6,RU,1602534468
192,Havre-St-Pierre,50.23,-63.6,42.8,60,1,18.34,CA,1602534468
193,Hamilton,39.18,-84.53,75.99,69,90,11.41,US,1602534370
194,Flinders,-34.58,150.86,59.0,85,0,1.01,AU,1602534442
195,‘Ewa Beach,21.32,-158.01,78.8,83,20,12.08,US,1602534469
196,Pauini,-7.71,-66.98,91.22,45,95,2.01,BR,1602534469
197,Djambala,-2.54,14.75,68.88,93,75,2.35,CG,1602534469
